,producto,fecha,pais,transporte,kg,tipo
92,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Italia,Carretera,1056.0,import
93,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Italia,Carretera,3756.0,import
94,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Italia,Carretera,288.0,import
95,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Italia,Carretera,640.0,import
96,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Italia,Carretera,36317.0,import
97,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Italia,Carretera,2110.0,import
106,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Reino Unido,Marítimo,8655465.0,import
107,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Reino Unido,Marítimo,11425861.0,import
108,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Reino Unido,Marítimo,10004916.43,import
109,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Reino Unido,Marítimo,5839681.0,import
110,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Reino Unido,Marítimo,578743.0,import
111,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Reino Unido,Marítimo,125650.0,import
113,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Reino Unido,Carretera,1116560.41,import
114,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Reino Unido,Carretera,1286246.0,import
115,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Reino Unido,Carretera,794840.1,import
116,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Reino Unido,Carretera,104348.1,import
117,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Reino Unido,Carretera,36535.76,import
118,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Reino Unido,Carretera,151047.53,import
127,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Irlanda,Marítimo,25000.0,import
128,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Irlanda,Marítimo,50025.0,import
139,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Irlanda,Carretera,1620.0,import
148,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Dinamarca,Marítimo,930354.0,import
149,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Dinamarca,Marítimo,1030375.0,import
150,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Dinamarca,Marítimo,923125.0,import
151,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Dinamarca,Marítimo,245120.0,import
155,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Dinamarca,Carretera,24400.0,import
156,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Dinamarca,Carretera,24000.0,import
157,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Dinamarca,Carretera,26250.0,import
158,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Dinamarca,Carretera,24000.0,import
159,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Dinamarca,Carretera,48375.0,import
160,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Dinamarca,Carretera,24000.0,import
169,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Portugal,Marítimo,23100.0,import
