,producto,fecha,pais,transporte,Ton,tipo
236,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Marruecos,Carretera,51.92,import
237,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Marruecos,Carretera,307.38,import
238,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Marruecos,Carretera,126.66,import
239,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Marruecos,Carretera,64.24,import
248,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Costa de Marfil,Carretera,59.4,import
259,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Sudáfrica,Carretera,19.8,import
262,0702 Tomates frescos o refrigerados,2016-05-01 00:00:00, Sudáfrica,Carretera,19.8,import
275,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, México,Carretera,0.91,import
284,0702 Tomates frescos o refrigerados,2016-07-01 00:00:00, Costa Rica,Carretera,17.64,import
295,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Colombia,Carretera,0.14,import
297,0702 Tomates frescos o refrigerados,2016-03-01 00:00:00, Colombia,Carretera,0.36,import
299,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Colombia,Carretera,0.17,import
307,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Ecuador,Carretera,6.86,import
319,0702 Tomates frescos o refrigerados,2016-06-01 00:00:00, Perú,Carretera,1.08,import
323,0702 Tomates frescos o refrigerados,2016-04-01 00:00:00, Perú,Carretera,21.43,import
