,producto,fecha,pais,transporte,kg
332,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Chipre, Marítimo,0.0
333,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Chipre, Marítimo,0.0
334,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Chipre, Marítimo,25000.0
335,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Chipre, Marítimo,75000.0
344,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-12-01 00:00:00, Israel, Marítimo,0.0
345,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-11-01 00:00:00, Israel, Marítimo,0.0
346,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-10-01 00:00:00, Israel, Marítimo,0.0
347,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-09-01 00:00:00, Israel, Marítimo,0.0
348,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-08-01 00:00:00, Israel, Marítimo,0.0
349,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-07-01 00:00:00, Israel, Marítimo,54000.0
36,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-01-01 00:00:00, Francia, Ferrocarril,0.0
37,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-02-01 00:00:00, Francia, Ferrocarril,0.0
38,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-03-01 00:00:00, Francia, Ferrocarril,65946.0
39,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-04-01 00:00:00, Francia, Ferrocarril,0.0
40,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-05-01 00:00:00, Francia, Ferrocarril,0.0
41,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-06-01 00:00:00, Francia, Ferrocarril,0.0
43,"0541 PATATAS, FRESCAS O REFRIGERADA",2015-01-01 00:00:00, Francia, Carretera,61531910.65
